id,phenotypeid,lookupkey,function1,function2,activityvalue1,activityvalue2,totalactivityscore,description
4061925,4061924,{'Decreased function': 2},Decreased function,Decreased function,n/a,n/a,n/a,An individual carrying two decreased function alleles
4061928,4061927,"{'Normal function': 1, 'Decreased function': 1}",Normal function,Decreased function,n/a,n/a,n/a,An individual carrying one normal function allele and one decreased function allele
4061931,4061930,{'Normal function': 2},Normal function,Normal function,n/a,n/a,n/a,An individual carrying two normal function alleles
4061934,4061933,{'Malignant Hyperthermia associated': 2},Malignant Hyperthermia associated,Malignant Hyperthermia associated,n/a,n/a,n/a,An individual homozygous or compound heterozygous for a CACNA1S Malignant hyperthermia-causative variant as designated by the EMHG
4061938,4061933,"{'Normal function': 1, 'Malignant Hyperthermia associated': 1}",Malignant Hyperthermia associated,Normal function,n/a,n/a,n/a,An individual heterozygous for a CACNA1S Malignant hyperthermia-causative variant as designated by the EMHG
4061942,4061941,{'Normal function': 2},Normal function,Normal function,n/a,n/a,n/a,An individual negative for a CACNA1S malignant hyperthermia–causative variant as designated by the EMHG
4061945,4061944,{'ivacaftor responsive': 2},ivacaftor responsive,ivacaftor responsive,n/a,n/a,n/a,An individual homozygous or compound heterozygous for a CFTR variant listed in the FDA-approved drug label as being responsive to ivacaftor
4062726,4061944,"{'ivacaftor responsive': 1, 'ivacaftor non-responsive': 1}",ivacaftor responsive,ivacaftor non-responsive,n/a,n/a,n/a,An individual diagnosed with cystic fibrosis (CF) and heterozygous for a CFTR variant listed in the FDA-approved drug label as being responsive to ivacaftor
4062767,4062766,{'ivacaftor non-responsive': 2},ivacaftor non-responsive,ivacaftor non-responsive,n/a,n/a,n/a,An individual diagnosed with cystic fibrosis (CF) and negative for a CFTR variant listed in the FDA-approved drug label as being responsive to ivacaftor
4062770,4062769,{'Increased function': 2},Increased function,Increased function,n/a,n/a,n/a,An individual carrying two increased function alleles
4062775,4062774,"{'Normal function': 1, 'Increased function': 1}",Normal function,Increased function,n/a,n/a,n/a,An individual carrying one normal function allele and one increased function allele
4062789,4062788,{'Normal function': 2},Normal function,Normal function,n/a,n/a,n/a,An individual carrying two normal function alleles
4062812,4062811,"{'Normal function': 1, 'Decreased function': 1}",Normal function,Decreased function,n/a,n/a,n/a,An individual carrying one normal function allele and one decreased function allele
4062867,4062811,"{'No function': 1, 'Normal function': 1}",Normal function,No function,n/a,n/a,n/a,An individual carrying one normal function allele and one no function allele
4062928,4062811,"{'Decreased function': 1, 'Increased function': 1}",Increased function,Decreased function,n/a,n/a,n/a,An individual carrying one increased function allele and one decreased function allele
4062947,4062811,"{'No function': 1, 'Increased function': 1}",Increased function,No function,n/a,n/a,n/a,An individual carrying one increased function allele and one no function allele
4062969,4062968,{'Decreased function': 2},Decreased function,Decreased function,n/a,n/a,n/a,An individual carrying two decreased function alleles
4063015,4062968,"{'No function': 1, 'Decreased function': 1}",Decreased function,No function,n/a,n/a,n/a,An individual carrying one decreased function allele and one no function allele
4063106,4062968,{'No function': 2},No function,No function,n/a,n/a,n/a,An individual carrying two no function alleles
4063163,4063162,"{'Increased function': 1, 'Uncertain function': 1}",Uncertain function,Increased function,n/a,n/a,n/a,An individual carrying one increased function allele and one uncertain function allele
4063180,4063162,"{'Normal function': 1, 'Uncertain function': 1}",Uncertain function,Normal function,n/a,n/a,n/a,An individual carrying one normal function allele and one uncertain function allele
4063229,4063162,"{'Decreased function': 1, 'Uncertain function': 1}",Uncertain function,Decreased function,n/a,n/a,n/a,An individual carrying one decreased function allele and one uncertain function allele
4063302,4063162,"{'No function': 1, 'Uncertain function': 1}",Uncertain function,No function,n/a,n/a,n/a,An individual carrying one no function allele and one uncertain function allele
4063383,4063162,{'Uncertain function': 2},Uncertain function,Uncertain function,n/a,n/a,n/a,An individual carrying two uncertain function alleles
4063420,4063162,"{'Unknown function': 1, 'Increased function': 1}",Unknown function,Increased function,n/a,n/a,n/a,An individual carrying one increased function allele and one unknown function allele
4063425,4063162,"{'Normal function': 1, 'Unknown function': 1}",Unknown function,Normal function,n/a,n/a,n/a,An individual carrying one normal function allele and one unknown function allele
4063438,4063162,"{'Unknown function': 1, 'Decreased function': 1}",Unknown function,Decreased function,n/a,n/a,n/a,An individual carrying one decreased function allele and one unknown function allele
4063457,4063162,"{'No function': 1, 'Unknown function': 1}",Unknown function,No function,n/a,n/a,n/a,An individual carrying one no function allele and one unknown function allele
4063478,4063162,{'Unknown function': 2},Unknown function,Unknown function,n/a,n/a,n/a,An individual carrying two unknown function alleles
4063482,4063162,"{'Unknown function': 1, 'Uncertain function': 1}",Uncertain function,Unknown function,n/a,n/a,n/a,An individual carrying one uncertain function allele and one unknown function allele
4063500,4063499,{'Increased function': 2},Increased function,Increased function,n/a,n/a,n/a,An individual carrying two increased function alleles
4063503,4063502,"{'Normal function': 1, 'Increased function': 1}",Increased function,Normal function,n/a,n/a,n/a,An individual carrying one normal function allele and one increased function allele
4063512,4063511,{'Normal function': 2},Normal function,Normal function,n/a,n/a,n/a,An individual carrying two normal function alleles
4063542,4063541,"{'Normal function': 1, 'Decreased function': 1}",Decreased function,Normal function,n/a,n/a,n/a,An individual carrying one normal function allele and one decreased function allele
4162303,4161330,{'Unknown function': 2},Unknown function,Unknown function,n/a,n/a,n/a,An individual carrying two unknown function alleles
4063585,4063541,"{'Decreased function': 1, 'Increased function': 1}",Decreased function,Increased function,n/a,n/a,n/a,An individual carrying one increased function allele and one decreased function allele
4063592,4063541,{'Decreased function': 2},Decreased function,Decreased function,n/a,n/a,n/a,An individual carrying two decreased function alleles
