pairid,genesymbol,drugid,guidelineid,usedforrecommendation,version,cpiclevel,pgkbcalevel,pgxtesting,citations,removed,removeddate,removedreason
110089,CYP2C9,RxNorm:140587,110058.0,True,57,A,1A,Actionable PGx,['32189324'],False,,
110090,CYP2C19,RxNorm:2556,100413.0,True,57,A,1A,Actionable PGx,"['25974703', '37032427']",False,,
110091,CYP2C19,RxNorm:32968,100411.0,True,58,A,1A,Actionable PGx,"['21716271', '23698643', '35034351']",False,,
110094,RYR1,RxNorm:27340,100427.0,True,57,A,1A,Actionable PGx,['30499100'],False,,
110096,CACNA1S,RxNorm:3920,100427.0,True,57,A,1A,Actionable PGx,['30499100'],False,,
110097,RYR1,RxNorm:3920,100427.0,True,57,A,1A,Actionable PGx,['30499100'],False,,
110098,CYP2C19,RxNorm:321988,100413.0,True,57,A,1A,Actionable PGx,"['25974703', '37032427']",False,,
110100,CYP2C9,RxNorm:4502,110058.0,True,57,A,1A,Actionable PGx,['32189324'],False,,
110101,CYP2C9,RxNorm:72236,100412.0,True,58,A,,Actionable PGx,"['25099164', '32779747']",False,,
110102,HLA-B,RxNorm:72236,100412.0,True,57,A,,Actionable PGx,"['25099164', '32779747']",False,,
110103,CACNA1S,RxNorm:5095,100427.0,True,57,A,1A,,['30499100'],False,,
110104,RYR1,RxNorm:5095,100427.0,True,57,A,1A,,['30499100'],False,,
110063,CYP2C9,RxNorm:5640,110058.0,True,60,A,1A,,['32189324'],False,,
110106,UGT1A1,RxNorm:51499,,False,69,A,1A,Testing Recommended,,False,,
110107,CACNA1S,RxNorm:6026,100427.0,True,57,A,1A,Actionable PGx,['30499100'],False,,
110108,RYR1,RxNorm:6026,100427.0,True,57,A,1A,Actionable PGx,['30499100'],False,,
110159,MT-RNR1,RxNorm:6099,826283.0,True,61,A,1A,,['34032273'],False,,
110110,CYP2C19,RxNorm:17128,110076.0,True,66,A,1A,,['32770672'],False,,
110065,CYP2C9,RxNorm:20890,110058.0,True,59,A,1A,,['32189324'],False,,
