id,publicationid,ethnicity,population,populationinfo,subjecttype,subjectcount,version
4164357,116843.0,Sub-Saharan African,Tanzanian,,,183,1
4166016,113757.0,European,French,,Bone marrow donors,42636,1
4166017,113759.0,European,Albanian,,,432,1
4166018,113528.0,Latino,Mexico City Mestizo,,,121,1
4166019,113528.0,Latino,Mexico City Mestizo pop 2,,,234,1
4166020,113528.0,Latino,USA Hispanic,,,234,1
4166021,113528.0,Latino,USA Hispanic pop 2,,,1999,1
4166022,113528.0,Latino,USA Mexican American Mestizo,,,553,1
4166023,113528.0,Latino,USA NMDP Mexican or Chicano,,,261235,1
4166024,113528.0,Latino,USA NMDP Caribbean Hispanic,,,115374,1
4166025,113528.0,Latino,USA South Texas Hispanic,,,194,1
4166026,113528.0,Latino,Mexico Guadalajara Mestizo pop 2,,,103,1
4166027,113528.0,Latino,USA NMDP Hispanic South or Central American,,,146714,1
4166028,113537.0,Latino,"Colombians from Medellin, Colombia",CLM,,148,1
4166029,113537.0,Latino,"Mexican Ancestry from Los Angeles, USA",MXL,,107,1
4166030,113537.0,Latino,Puerto Ricans from Puerto Rico,PUR,,150,1
4164358,116003.0,Sub-Saharan African,Beninese,Zou department of Benin,,111,1
4164359,117022.0,Sub-Saharan African,Black from Brazil,,,77,1
4164360,117236.0,Sub-Saharan African,Beninese,,,109,1
4164361,117232.0,Sub-Saharan African,Ethiopian,,,150,1
4164362,117238.0,Sub-Saharan African,Gambian,Farafenni and surrounding villages,,43,1
4164363,116338.0,Sub-Saharan African,Ghanaian,,,204,1
4164364,114248.0,Sub-Saharan African,South African,Black,,993,1
4164365,116723.0,Sub-Saharan African,Mozambican,Maputo,Warfarin treated patients and healthy controls,206,1
4164366,116248.0,Sub-Saharan African,Ethiopian,,,150,1
4164367,116590.0,Sub-Saharan African,Black from Brazil,,,117,1
4164368,116907.0,Sub-Saharan African,Tanzanian,,Malaria patients,131,1
4164369,113537.0,Sub-Saharan African,Gambian,Mandinka,,113,1
