id,publicationid,description,url,version
725972,110006,,https://files.cpicpgx.org/data/guideline/publication/SSRI/2015/25974703_2015_CYP2C19_SSRI_translation_table.xlsx,1
725973,110006,,https://files.cpicpgx.org/data/guideline/publication/SSRI/2015/25974703_2015_CYP2D6_SSRI_translation_table.xlsx,1
725974,110006,,https://files.cpicpgx.org/data/guideline/publication/SSRI/2015/25974703_CYP2C19_frequency_table.xlsx,1
725975,110006,,https://files.cpicpgx.org/data/guideline/publication/SSRI/2015/25974703_CYP2C19_frequency_table_legend.pdf,1
725976,110006,,https://files.cpicpgx.org/data/guideline/publication/SSRI/2015/25974703_CYP2D6_frequency_table_(R3).xlsx,1
725977,110006,,https://files.cpicpgx.org/data/guideline/publication/SSRI/2015/25974703_CYP2D6_frequency_table_legend_(R3).pdf,1
725978,110011,,https://files.cpicpgx.org/data/guideline/publication/TCA/2013/23486447-CYP2D6_frequency_table_(R2).xlsx,1
725979,110011,,https://files.cpicpgx.org/data/guideline/publication/TCA/2013/23486447-CYP2D6_frequency_table_legend_(R2).pdf,1
725982,110004,,https://files.cpicpgx.org/data/guideline/publication/TCA/2016/Amitriptyline_Pre_and_Post_Test_Alerts_and_Flow_Chart.xlsx,1
725983,110004,,https://files.cpicpgx.org/data/guideline/publication/TCA/2016/Nortriptyline_Pre_and_Post_Test_Alerts_and_Flow_Chart.xlsx,1
725988,110008,,https://files.cpicpgx.org/data/guideline/publication/atazanavir/2015/26417955-UGT1A1_allele_frequency.xlsx,1
725995,110031,,https://files.cpicpgx.org/data/guideline/publication/codeine/2012/22205192-CYP2D6-allele_frequency_table.xlsx,1
725996,110031,,https://files.cpicpgx.org/data/guideline/publication/codeine/2012/22205192-CYP2D6-allele_table_and_legend.pdf,1
725998,110033,,https://files.cpicpgx.org/data/guideline/publication/codeine/2014/24458010-CYP2D6_allele_frequency_table_(R2).xlsx,1
725999,110033,,https://files.cpicpgx.org/data/guideline/publication/codeine/2014/24458010-CYP2D6_allele_table_and_legend_(R2).pdf,1
