id,guidelineid,drugid,implications,drugrecommendation,classification,phenotypes,activityscore,allelestatus,lookupkey,population,comments,version,dosinginformation,alternatedrugavailable,otherprescribingguidance
4167629,100421,RxNorm:190521,{'HLA-B': 'Low or reduced risk of abacavir hypersensitivity'},Use abacavir per standard dosing guidelines,Strong,{},{},{'HLA-B': 'HLA-B*57:01 negative'},{'HLA-B': '*57:01 negative'},general,n/a,1,False,False,False
4167630,100421,RxNorm:190521,{'HLA-B': 'Significantly increased risk of abacavir hypersensitivity'},Abacavir is not recommended,Strong,{},{},{'HLA-B': 'HLA-B*57:01 positive'},{'HLA-B': '*57:01 positive'},general,n/a,1,False,False,False
4167631,100422,RxNorm:519,{'HLA-B': 'Low or reduced risk of allopurinol-induced SCAR'},Use allopurinol per standard dosing guidelines,Strong,{},{},{'HLA-B': 'HLA-B*58:01 negative'},{'HLA-B': '*58:01 negative'},general,n/a,1,False,False,False
4167632,100422,RxNorm:519,{'HLA-B': 'Significantly increased risk of allopurinol-induced SCAR'},Allopurinol is contraindicated,Strong,{},{},{'HLA-B': 'HLA-B*58:01 positive'},{'HLA-B': '*58:01 positive'},general,n/a,1,False,False,False
4167633,826283,RxNorm:641,{'MT-RNR1': 'Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.,Strong,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},{},{},{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},general,"If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).",1,False,False,False
4167634,826283,RxNorm:641,{'MT-RNR1': 'Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Strong,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},{},{},{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.",1,False,False,False
4167635,826283,RxNorm:641,{'MT-RNR1': 'Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Optional,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},{},{},{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.",1,False,False,False
4167636,826283,ATC:D06AX07,{'MT-RNR1': 'Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.,Strong,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},{},{},{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},general,"If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring).",1,False,False,False
4167637,826283,ATC:D06AX07,{'MT-RNR1': 'Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Strong,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},{},{},{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.",1,False,False,False
4167638,826283,ATC:D06AX07,{'MT-RNR1': 'Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Optional,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},{},{},{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses.",1,False,False,False
