recommendationid,lookupkey,drugname,guidelinename,guidelineurl,implications,drugrecommendation,classification,phenotypes,activityscore,population,comments
4167629,{'HLA-B': '*57:01 negative'},abacavir,HLA-B and Abacavir,https://cpicpgx.org/guidelines/guideline-for-abacavir-and-hla-b/,{'HLA-B': 'Low or reduced risk of abacavir hypersensitivity'},Use abacavir per standard dosing guidelines,Strong,{},{},general,n/a
4167630,{'HLA-B': '*57:01 positive'},abacavir,HLA-B and Abacavir,https://cpicpgx.org/guidelines/guideline-for-abacavir-and-hla-b/,{'HLA-B': 'Significantly increased risk of abacavir hypersensitivity'},Abacavir is not recommended,Strong,{},{},general,n/a
4167631,{'HLA-B': '*58:01 negative'},allopurinol,HLA-B and Allopurinol,https://cpicpgx.org/guidelines/guideline-for-allopurinol-and-hla-b/,{'HLA-B': 'Low or reduced risk of allopurinol-induced SCAR'},Use allopurinol per standard dosing guidelines,Strong,{},{},general,n/a
4167632,{'HLA-B': '*58:01 positive'},allopurinol,HLA-B and Allopurinol,https://cpicpgx.org/guidelines/guideline-for-allopurinol-and-hla-b/,{'HLA-B': 'Significantly increased risk of allopurinol-induced SCAR'},Allopurinol is contraindicated,Strong,{},{},general,n/a
4167633,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},amikacin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.,Strong,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},{},general,"If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring)."
4167634,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},amikacin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Strong,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167635,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},amikacin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Optional,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167636,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},gentamicin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.,Strong,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},{},general,"If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring)."
4167637,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},gentamicin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Strong,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167638,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},gentamicin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Optional,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167639,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},kanamycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.,Strong,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},{},general,"If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring)."
4167640,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},kanamycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Strong,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167641,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},kanamycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Optional,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167642,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},paromomycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.,Strong,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},{},general,"If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring)."
4167643,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},paromomycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Strong,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167644,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},paromomycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Optional,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167645,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},plazomicin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.,Strong,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},{},general,"If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring)."
4167646,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},plazomicin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Strong,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167647,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},plazomicin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Optional,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167648,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},streptomycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.,Strong,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},{},general,"If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring)."
