symbol,chr,genesequenceid,proteinsequenceid,chromosequenceid,mrnasequenceid,hgncid,ncbiid,ensemblid,pharmgkbid,frequencymethods,lookupmethod,version,notesondiplotype,url,functionmethods,notesonallelenaming,includephenotypefrequencies,includediplotypefrequencies
ERCC1,chr19,NG_015839,NP_001974,,,HGNC:3433,2067,ENSG00000012061,PA155,,PHENOTYPE,2,,,,,True,True
POLG,chr15,NG_008218,NP_002684,,,HGNC:9179,5428,ENSG00000140521,PA33500,,PHENOTYPE,2,,,,,True,True
ASS1,chr9,NG_011542,NP_000041,,,HGNC:758,445,ENSG00000130707,PA162376926,,PHENOTYPE,2,,,,,True,True
DRD2,chr11,NG_008841,NP_000786,,,HGNC:3023,1813,ENSG00000149295,PA27478,,PHENOTYPE,2,,,,,True,True
ATIC,chr2,NG_013002,NP_004035,,,HGNC:794,471,ENSG00000138363,PA25094,,PHENOTYPE,2,,,,,True,True
APOE,chr19,NG_007084,NP_000032,,,HGNC:613,348,ENSG00000130203,PA55,,PHENOTYPE,2,,,,,True,True
GSTM1,chr1,NG_009246,NP_000552,,,HGNC:4632,2944,ENSG00000134184,PA182,,PHENOTYPE,2,,,,,True,True
F5,chr1,NG_011806,NP_000121,,,HGNC:3542,2153,ENSG00000198734,PA159,,PHENOTYPE,2,,,,,True,True
CYB5R3,chr22,NG_012194,NP_000389,,,HGNC:2873,1727,ENSG00000100243,PA27331,,PHENOTYPE,2,,,,,True,True
CHRNA3,chr15,NG_016143,NP_000734,,,HGNC:1957,1136,ENSG00000080644,PA113,,PHENOTYPE,2,,,,,True,True
HMGCR,chr5,NG_011449,NP_000850,,,HGNC:5006,3156,ENSG00000113161,PA189,,PHENOTYPE,2,,,,,True,True
ADRB2,chr5,NG_016421,NP_000015,,,HGNC:286,154,ENSG00000169252,PA39,,PHENOTYPE,2,,,,,True,True
CRHR1,chr17,NG_009902,NP_004373,,,HGNC:2357,1394,ENSG00000120088,PA26874,,PHENOTYPE,2,,,,,True,True
ITPA,chr20,NG_012093,NP_258412,,,HGNC:6176,3704,ENSG00000125877,PA29973,,PHENOTYPE,2,,,,,True,True
MC4R,chr18,NG_016441,NP_005903,,,HGNC:6932,4160,ENSG00000166603,PA30676,,PHENOTYPE,2,,,,,True,True
COQ2,chr4,NG_015825,NP_056512,,,HGNC:25223,27235,ENSG00000173085,PA142672084,,PHENOTYPE,2,,,,,True,True
HTR2C,chrX,NG_012082,NP_000859,,,HGNC:5295,3358,ENSG00000147246,PA194,,PHENOTYPE,2,,,,,True,True
OTC,chrX,NG_008471,NP_000522,,,HGNC:8512,5009,ENSG00000036473,PA32840,,PHENOTYPE,2,,,,,True,True
MTRR,chr5,NG_008856,NP_002445,,,HGNC:7473,4552,ENSG00000124275,PA31277,,PHENOTYPE,2,,,,,True,True
LPA,chr6,NG_016147,NP_005568,,,HGNC:6667,4018,ENSG00000198670,PA30432,,PHENOTYPE,2,,,,,True,True
NAT1,chr8,NG_012245,NP_000653,,,HGNC:7645,9,ENSG00000171428,PA17,,PHENOTYPE,2,,,,,True,True
CPS1,chr2,NG_008285,NP_001866,,,HGNC:2323,1373,ENSG00000021826,PA26840,,PHENOTYPE,2,,,,,True,True
EGF,chr4,NG_011441,NP_001954,,,HGNC:3229,1950,ENSG00000138798,PA27664,,PHENOTYPE,2,,,,,True,True
DYNC2H1,chr11,NG_016423,NP_001368,,,HGNC:2962,79659,ENSG00000187240,PA27433,,PHENOTYPE,2,,,,,True,True
GNB3,chr12,NG_009100,NP_002066,,,HGNC:4400,2784,ENSG00000111664,PA176,,PHENOTYPE,2,,,,,True,True
SEMA3C,chr7,,NP_006370,,,HGNC:10725,10512,ENSG00000075223,PA35647,,PHENOTYPE,3,,,,,True,True
KIF6,chr6,,NP_659464,,,HGNC:21202,221458,ENSG00000164627,PA134920075,,PHENOTYPE,3,,,,,True,True
CCHCR1,chr6,,NP_061925,,,HGNC:13930,54535,ENSG00000204536,PA134942738,,PHENOTYPE,3,,,,,True,True
FCGR3A,chr1,NG_009066,NP_000560,,,HGNC:3619,2214,ENSG00000203747,PA28065,,PHENOTYPE,2,,,,,True,True
NAGS,chr17,NG_008106,NP_694551,,,HGNC:17996,162417,ENSG00000161653,PA134968729,,PHENOTYPE,2,,,,,True,True
LDLR,chr19,NG_009060,NP_000518,,,HGNC:6547,3949,ENSG00000130164,PA227,,PHENOTYPE,2,,,,,True,True
ASL,chr7,NG_009288,NP_000039,,,HGNC:746,435,ENSG00000126522,PA25046,,PHENOTYPE,2,,,,,True,True
HPRT1,chrX,NG_012329,NP_000185,,,HGNC:5157,3251,ENSG00000165704,PA29427,,PHENOTYPE,2,,,,,True,True
ANKK1,chr11,NG_012976,NP_848605,,,HGNC:21027,255239,ENSG00000170209,PA134872551,,PHENOTYPE,2,,,,,True,True
XPC,chr3,NG_011763,NP_004619,,,HGNC:12816,7508,ENSG00000154767,PA37413,,PHENOTYPE,2,,,,,True,True
FKBP5,chr6,NG_012645,NP_004108,,,HGNC:3721,2289,ENSG00000096060,PA28162,,PHENOTYPE,2,,,,,True,True
ACE,chr17,NG_011648,NP_000780,,,HGNC:2707,1636,ENSG00000159640,PA139,,PHENOTYPE,2,,,,,True,True
TXNRD2,chr22,NG_011835,NP_006431,,,HGNC:18155,10587,ENSG00000184470,PA38302,,PHENOTYPE,2,,,,,True,True
GBA,chr1,NG_009783,NP_000148,,,HGNC:4177,2629,ENSG00000177628,PA28591,,PHENOTYPE,2,,,,,True,True
HLA-DRB1,chr6,NG_002392,NP_002115,,,HGNC:4948,3123,ENSG00000196126,PA35072,,PHENOTYPE,2,,,,,True,True
CETP,chr16,NG_008952,NP_000069,,,HGNC:1869,1071,ENSG00000087237,PA108,,PHENOTYPE,2,,,,,True,True
UGT1A4,chr2,NG_002601,NP_009051,,,HGNC:12536,54657,ENSG00000244474,PA37179,,PHENOTYPE,2,,,,,True,True
TP53,chr17,NG_017013,NP_000537,,,HGNC:11998,7157,ENSG00000141510,PA36679,,PHENOTYPE,2,,,,,True,True
PRKCA,chr17,NG_012206,NP_002728,,,HGNC:9393,5578,ENSG00000154229,PA33759,,PHENOTYPE,2,,,,,True,True
